recip.220.WT.OB1.D7	recip.290.ASO.OB2.D1	recip.389.WT.HC2.D21	recip.391.ASO.PD2.D14	recip.391.ASO.PD2.D21	recip.391.ASO.PD2.D7	recip.400.ASO.HC2.D14	recip.401.ASO.HC2.D7	recip.403.ASO.PD2.D21	recip.411.ASO.HC2.D14	recip.411.ASO.HC2.D21	recip.411.ASO.HC2.D49	recip.412.ASO.HC2.D14	recip.412.ASO.HC2.D7	recip.413.WT.HC2.D7	recip.456.ASO.HC3.D49	recip.458.ASO.HC3.D21	recip.458.ASO.HC3.D49	recip.459.WT.HC3.D14	recip.459.WT.HC3.D21	recip.459.WT.HC3.D49	recip.460.WT.HC3.D14	recip.460.WT.HC3.D21	recip.460.WT.HC3.D49	recip.460.WT.HC3.D7	recip.461.ASO.HC3.D21	recip.461.ASO.HC3.D49	recip.461.ASO.HC3.D7	recip.462.WT.PD3.D14	recip.462.WT.PD3.D21	recip.462.WT.PD3.D49	recip.462.WT.PD3.D7	recip.463.WT.PD3.D14	recip.463.WT.PD3.D21	recip.463.WT.PD3.D7	recip.464.WT.PD3.D14	recip.465.ASO.PD3.D14	recip.465.ASO.PD3.D7	recip.466.ASO.PD3.D7	recip.467.WT.HC3.D49.a	recip.467.WT.HC3.D49.b	recip.536.ASO.PD4.D49	recip.537.WT.PD4.D21	recip.538.WT.PD4.D21	recip.539.ASO.PD4.D14	recip.539.ASO.PD4.D7	recip.540.ASO.HC4.D14	recip.540.ASO.HC4.D7
60c57911662a9159dfdd0fc05d975a55	0	0	0	0	0	21	11	101	25	0	0	0	0	19	0	73	53	21	0	97	0	20	0	0	34	0	0	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8a83cfd5eb074b5dbc6118eb03ef915e	0	0	0	23	31	0	36	10	0	77	57	0	64	15	36	0	84	0	0	47	0	0	0	0	27	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1276e75750b8088464a4275ad0c81579	11	0	190	0	0	0	0	0	0	0	0	207	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	122	0	0	0	0	0	0	0	0
6a17479edbe461431433bddb084f731e	0	0	0	0	0	0	0	0	0	0	6	0	5	0	0	116	76	24	0	42	0	21	0	0	194	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
56c3d1a8e4dc5c2aa7afbc1563559448	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	8	0	0	49	0	0	37	0	9	27	0	49	0	0	21	24	16	10	46	76	23	65
f609a7a60f9d78d21f9d3344dd463ebd	21	25	30	14	79	29	0	7	0	0	87	44	71	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0
e644522cf6d7222c9da7f9ecf614cd89	0	52	71	0	0	0	0	0	24	0	0	59	0	0	0	97	0	105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0
597966c93921ecc2907ad15121cbcd2c	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	17	0	0	21	12	14	155	9	0	13	0	9	23	22	0	9	21	0	14	10	16	0	30
d2d1d9d57e61a764383ea2c84cef04c5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	20	0	17	0	0	12	0	0	24	9	29	0	19	38	17	0	44	18	0	0	13	9	0	12	20	46	20	8
f383301e7fc9100853de9ac3bc236047	0	12	0	0	0	0	0	0	44	39	0	0	31	0	64	10	37	0	0	15	0	7	0	0	65	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2f3b51e3f7acc3c9f66f1552b67a0209	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	0	56	0	0	0	0	0	0	0	0	0	0	25	0	0	43	35	0	35	0	34	0	0	0	6	0	17	0	28
3e93fd55a231bb99b67a666bad8446a8	0	0	0	5	0	0	0	0	8	0	0	0	0	0	14	0	0	0	7	0	0	0	0	0	9	0	6	0	13	0	0	39	24	0	17	12	17	16	12	0	30	10	0	0	16	14	22	25
a7afea19e18742d1f98968e526a4d848	0	0	0	0	0	0	0	100	0	0	0	0	0	11	0	84	60	0	0	0	0	0	0	0	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
fea3411c847e6627afb5e78b88e2e9af	9	0	0	0	0	0	0	0	0	19	21	0	15	0	80	43	23	0	0	0	0	8	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	6	0	13	19	0	0
